ib,cogs,gsubind,dltt,che,emp,at,ebitda,dlc,isin,gvkey,conm,seq,lct,invt,ebit,fyear,ivch,naics,lt,ggroup,datadate,gind,fincf,xint,oibdp,ceq,sale,dp,xsga,loc,ppent,rect,dvt,capx,sic,xrd,ivst,revt,gsector,oancf,act,roa,roe,ebit_margin,ebitda_margin,net_profit_margin,operating_margin,gross_margin,roc,current_ratio,quick_ratio,cash_ratio,cash_ratio_enhanced,working_capital_ratio,debt_to_equity,total_debt_to_equity,equity_ratio,debt_ratio,interest_coverage,net_debt_to_ebitda,debt_to_assets,asset_turnover,revenue_per_employee,receivables_turnover,days_sales_outstanding,capital_intensity,working_capital_turnover,inventory_turnover,asset_quality,capex_to_revenue,capex_to_depreciation,fcf,fcf_margin,reinvestment_rate,cash_conversion,financial_leverage,rnd_intensity,dividend_payout_ratio,retention_ratio,revenue_growth,asset_growth,employee_growth,fcf_growth,capex_growth,margin_trend,leverage_trend,capex_trend,fcf_trend,margin_volatility,leverage_volatility,cf_to_assets,cashflow_volatility,margin_consistency,growth_quality,ebitda_outlier,ebit_outlier,roa_outlier,roe_outlier,ebit_margin_outlier,ebitda_margin_outlier,net_profit_margin_outlier,operating_margin_outlier,gross_margin_outlier,roc_outlier,current_ratio_outlier,quick_ratio_outlier,cash_ratio_outlier,cash_ratio_enhanced_outlier,working_capital_ratio_outlier,debt_to_equity_outlier,total_debt_to_equity_outlier,equity_ratio_outlier,debt_ratio_outlier,interest_coverage_outlier,net_debt_to_ebitda_outlier,debt_to_assets_outlier,asset_turnover_outlier,revenue_per_employee_outlier,receivables_turnover_outlier,days_sales_outstanding_outlier,capital_intensity_outlier,working_capital_turnover_outlier,inventory_turnover_outlier,asset_quality_outlier,capex_to_revenue_outlier,capex_to_depreciation_outlier,fcf_outlier,fcf_margin_outlier,reinvestment_rate_outlier,cash_conversion_outlier,financial_leverage_outlier,rnd_intensity_outlier,dividend_payout_ratio_outlier,retention_ratio_outlier,revenue_growth_outlier,asset_growth_outlier,employee_growth_outlier,fcf_growth_outlier,capex_growth_outlier,margin_trend_outlier,leverage_trend_outlier,capex_trend_outlier,fcf_trend_outlier,margin_volatility_outlier,leverage_volatility_outlier,cashflow_volatility_outlier,margin_consistency_outlier,growth_quality_outlier,years_available,latest_year,cluster,cluster_name,proximity_score,profitability_score,liquidity_score,leverage_score,efficiency_score,cashflow_score,structure_score,relative_score,overall_score
1298.0,44695.0,15101020.0,20455.0,3683.0,109.717,80415.0,6675.0,3540.0,DE000BASF111,17436,BASF SE,35599.0,17039.0,13681.0,2864.0,2024.0,,325.0,43532.0,1510.0,2024-12-31,151010.0,-1547.0,1083.0,6675.0,35599.0,65260.0,3811.0,10347.0,DEU,17773.0,12244.0,2000.0,6198.0,2800.0,2061.0,769.0,65260.0,15.0,6946.0,31232.0,3.561524591183237,3.646169836231355,4.388599448360404,10.228317499233832,1.988967208090714,10.228317499233832,31.512411890897944,5.109358832554323,1.832971418510476,1.0300487117788604,0.2161511825811373,0.2612829391396208,17.649692221600446,0.574594791988539,0.6740357875221215,44.26910402288131,54.13417894671392,2.644506001846722,3.042996254681648,29.83896039296151,0.8115401355468507,594.8029931551173,5.329957530218882,68.48084584737971,27.2341403616304,4.598041287958853,3.2669395512023973,19.806006342100357,9.497395035243642,1.626344791393335,748.0,1.1461844927980387,89.23121220846531,242.52793296089385,2.2589117671844714,3.1581366840330984,154.08320493066256,-54.08320493066256,-5.285768192505302,3.9020608566444848,0.0282624947577581,-72.45949926362297,14.884151992585725,-0.5584299133540365,0.0055697257137825,-0.0066211145461601,-0.2316564715302633,2.549269232760668,0.0635727266514843,8.637691972890629,1.7210048065993824,0.5278355347349147,0.3474910408465332,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,0,Tier 1,52.4209119507084,59.58671123554843,78.10298062031352,89.72193580751237,78.10679784232255,89.53953749015423,94.68373417516892,49.56584870287911,53.57392028449267
10207.0,89497.0,25102010.0,73487.0,21741.0,163.132,265010.0,17353.0,39311.0,DE0007100000,17828,MERCEDES BENZ GROUP AG,92625.0,74826.0,26234.0,12586.0,2024.0,272.0,336110.0,171380.0,2510.0,2024-12-31,251020.0,-10752.0,249.0,17353.0,92625.0,145594.0,4767.0,11167.0,DEU,71757.0,49973.0,4140.0,4039.0,3711.0,7585.0,7230.0,145594.0,25.0,17735.0,101767.0,4.749254745103959,11.019703103913631,8.64458700221163,11.918760388477548,7.010591095786914,11.918760388477548,38.52974710496312,7.576815642458101,1.3600486461925,1.00944858738941,0.2905540854783097,0.3871782535482319,10.166031470510546,0.7933819163292848,1.217792172739541,34.9515112637259,64.66925776385797,50.54618473895582,5.247334754797441,42.56367684238331,0.5493905890343761,892.4919696932545,2.913453264762972,125.28088382763026,49.2856848496504,5.404179503359193,3.4114889075245864,27.06086562771216,2.774152781021196,0.8472834067547724,13696.0,9.406981056911686,22.7741753594587,140.91053551565233,2.86110661268556,5.209692707117052,40.56039972567845,59.43960027432155,-4.975916667754444,0.7558303107724873,-1.760851760851767,27.70163170163171,7.850467289719631,0.3217632319941527,-0.0830119467670089,-0.1390770153346783,1.7978061353709127,3.079812716571244,0.4783350473683612,6.692200294328515,3.73365028935714,0.120065131444565,-0.4650282774815283,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,0,Tier 1,68.06266812360026,73.82439974679873,89.80164457076425,85.46105658241466,88.14658647490435,94.09906455519331,99.27266847563205,48.17351585160482,63.758040828276975
8216.0,43108.0,20105010.0,41321.0,10216.0,327.0,147812.0,12658.0,6598.0,DE0007236101,19349,SIEMENS AG,51264.0,43913.0,10923.0,9659.0,2024.0,,999977.0,91581.0,2010.0,2024-09-30,201050.0,-8880.0,1785.0,12658.0,51264.0,75930.0,2999.0,13984.0,DEU,12078.0,34677.0,4160.0,2088.0,9997.0,6435.0,1060.0,75930.0,20.0,11665.0,61353.0,6.534652125673153,16.026841448189764,12.720927169761625,16.67061767417358,10.820492558935864,16.67061767417358,43.226656130646646,10.432575471188638,1.3971489080682258,1.14840707763077,0.232641814496846,0.2567804522578735,11.798771412334586,0.80604322721598,0.934749531835206,34.68189321570644,61.95775715097557,5.411204481792717,2.9785906146310634,32.4188834465402,0.5136930695748654,232.2018348623853,2.1896357816420107,166.69438956934016,15.906756222836824,4.353784403669724,3.946534834752357,30.371688360890865,2.749901224812328,0.6962320773591197,9577.0,12.612932964572632,17.899699957136733,120.76819546536908,2.883348938826467,8.474911102331093,50.63291139240506,49.36708860759494,-2.3646954442001267,1.8922291079294329,2.187500000000009,-4.430695539367324,-5.86113615870153,0.4274657300079713,0.0305137151956357,0.0217197223074527,0.7932198642492456,1.833229520947242,0.1736675054671443,7.891781452114849,0.9997692922485408,0.5980832047422889,-0.397258245788941,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,0,Tier 1,69.92516570683752,93.38780916779291,89.8972118891701,84.80965186858354,75.09270949704569,94.90946285248076,99.44635706344559,48.5299815701852,66.3924997277088
161.329,1909.906,15101050.0,420.534,684.943,8.382,4460.234,468.383,28.917,DE0007600801,100004,ALTANA AG,3005.005,646.347,626.463,288.839,2024.0,3.088,325.0,1430.794,1510.0,2024-12-31,151010.0,-95.191,53.735,468.383,3005.005,3168.838,179.544,575.095,DEU,1219.89,559.556,88.2,179.539,2800.0,213.23,126.731,3168.838,15.0,438.997,2117.433,6.475870996902852,5.368676591220314,9.114981579998725,14.780907070667542,5.091109106871351,14.780907070667542,39.72850615904001,8.431928522781378,3.276000352751695,2.3067640137573164,1.0597140545248915,1.2557867523172537,32.982260571978955,0.1399445258826524,0.1495674716015447,67.37325889179805,32.07889989628347,5.375248906671629,-0.502776573872237,10.076847986002528,0.7104645182293127,378.0527320448581,5.66312933826105,64.45199786167674,38.496445700285086,2.154080726755608,3.048713172206499,27.90210110052522,5.665767704123719,0.9999721516731274,259.458,8.187796283685062,40.89754599689746,151.9867469420681,1.4842684121989815,6.72896500231315,54.67088992059704,45.32911007940296,15.58711150586447,7.722761277389667,14.570803717878622,-1.9262608011974656,21.0802462891402,-0.6327483285192008,-0.0059883295837248,0.1963717792348544,-0.6761885055462092,2.4440278110633824,0.063661057004838,9.84246566435752,2.210320931129537,0.7372969057825468,-0.763409682844701,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,0,Tier 1,28.899505007533882,84.93897827747016,38.747289721153784,46.765805678733955,86.76120516171846,93.69244678729724,89.09123679582936,51.43146769733846,46.238359000638745
-1155.2,18989.3,20105010.0,2051.7,355.5,22.111,10852.4,-158.9,3728.7,DE0005194062,100010,BAYWA AG,-263.9,7773.1,2918.4,-461.3,2024.0,,424510.0,10817.1,2010.0,2024-12-31,201050.0,-436.0,546.6,-158.9,-263.9,21181.7,302.4,1709.3,DEU,2728.7,1463.6,88.2,601.2,9997.0,2.1,0.9,21181.7,20.0,941.5,7109.3,-4.250672662268254,437.7415687760516,-2.177823309743788,-0.7501758593502882,-5.4537643343074445,-0.7501758593502882,10.35044401535288,-25.80266249021144,0.9146029254737492,0.5391542627780421,0.0457346489817447,0.0458504329032175,-6.116619365301687,-7.774535809018568,-21.9037514209928,-2.431720172496406,99.6747263278169,-0.8439443834613977,,53.26379418377501,1.951798680476208,957.971145583646,14.472328505056028,25.22054414895877,12.88234655386489,,6.506750274122807,16.76219085179315,2.838299097806125,1.9880952380952384,340.29999999999995,1.606575487331045,63.85554965480617,,,0.0099142184055104,,,-11.710911872220342,-13.31048751068402,-4.463359834082259,-492.95612009237857,11.004431314623345,-0.0393191042204327,-0.8098200228053252,0.1385568362548212,0.1168159615733018,1.031984378037889,8.028889319410508,8.675500350152962,4.881921896458088,0.0159681156400033,0.1816939575119068,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,11,True,1,Tier 2,13.184043533410833,55.677254185079896,60.84175273200692,19.193776399529128,45.574711407218906,75.20796603427375,73.7886346517981,43.73851176408995,25.164652601416066
7290.0,78741.0,25102010.0,66770.0,19287.0,159.104,267732.0,17900.0,44491.0,DE0005190003,100022,BAYERISCHE MOTOREN WERKE AKT,92315.0,87689.0,24387.0,11339.0,2024.0,,336111.0,172729.0,2510.0,2024-12-31,251020.0,5766.0,562.0,17900.0,92315.0,142380.0,6561.0,9632.0,DEU,88419.0,45130.0,2677.0,12205.0,3711.0,7642.0,0.0,142380.0,25.0,7566.0,96387.0,4.23520535460834,7.896874830742566,7.9638994240764145,12.571990448096642,5.120101137800253,12.571990448096642,44.69658659924146,7.127636169343433,1.0991914607305364,0.8210836022762262,0.2199477699597441,0.2199477699597441,3.2487711592189203,0.7232844066511401,1.205232085793208,34.48037589828635,64.5156350380231,20.176156583629894,5.138212290502794,41.55685536282551,0.5318004571735915,894.8863636363635,3.154885885220474,115.6935665121506,62.100716392751785,16.369280294320532,3.228810431787428,24.06025428413488,8.57213091726366,1.8602347203170249,-4639.0,-3.258182328978789,161.31377213851442,66.72546079901225,2.900200400801604,5.367326871751651,36.72153635116598,63.27846364883402,-8.436121364905013,6.712902068635662,2.680864795095217,-169.64419756793274,12.167999264773457,-0.3216470686221347,-0.1079604426758696,0.0324983239486987,1.0003772041760857,2.300976531313524,0.3906040870311205,2.825960288646856,2.9111938621377837,0.2149450768542423,0.5827736771714417,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,0,Tier 1,59.166543578551966,70.44074165818913,73.92083785864742,84.33977125409959,87.0817225598957,89.15339520575469,99.57815111891126,46.88948801020521,59.251001272452925
1404.0,9315.0,15101040.0,6129.0,2055.0,55.646,33513.0,3686.0,1944.0,DE0006483001,100037,LINDE AG,14182.0,8787.0,1211.0,1808.0,2017.0,,325120.0,18454.0,1510.0,2017-12-31,151010.0,-1623.0,267.0,3686.0,14182.0,17113.0,1878.0,4032.0,DEU,11756.0,3559.0,88.2,1660.0,2810.0,112.0,623.0,17113.0,15.0,3508.0,7841.0,5.394921373795244,9.899873078550277,10.565067492549524,21.539180739788467,8.204289136913458,21.539180739788467,45.567697072401096,8.90158042440057,0.8923409582337544,0.7545237282348924,0.2338682144076476,0.3047684078752702,-2.8227851878375554,0.432167536313637,0.5692427020166408,42.317906484050965,55.06519857965566,6.771535580524344,1.6326641345632122,24.089159430668698,0.5106376629964492,307.53333572943245,4.8083731385220565,75.90925027756677,68.69631274469702,,7.691990090834022,16.751708292304478,9.70022789692047,0.8839190628328009,1848.0,10.79880792380062,47.32041049030787,194.0265486725664,2.363065858130024,0.6544732075030678,6.282051282051282,93.71794871794872,0.9735662025017744,-4.762852027622266,4.585948953125585,10.065515187611672,-5.73537762634867,-0.2953852357194847,-0.0580154813381547,-0.5503847368221055,1.4462117261353595,0.4351646984561573,0.0772141148975456,10.467579745173516,0.763730659095466,0.7679253485577232,0.8884089183899395,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,True,0,Tier 1,56.01312712524281,81.59377554914758,60.51029759940708,93.20292855068708,83.91599620004475,93.64136773442713,95.4619717061584,48.21116548975913,60.63169824500206
-432.0,8325.0,20106010.0,679.0,789.0,36.569,18090.0,648.0,2418.0,DE0005937007,100042,MAN SE,5935.0,7099.0,2219.0,-413.0,2020.0,5.0,336120.0,12155.0,2010.0,2020-12-31,201060.0,-524.0,82.0,648.0,5935.0,10838.0,1061.0,1805.0,DEU,6280.0,1541.0,16.0,362.0,3711.0,566.0,148.0,10838.0,20.0,570.0,4549.0,-2.283029297954671,-7.278854254422915,-3.8106661745709545,5.978962908285661,-3.985975272190441,5.978962908285661,23.186934858830043,-6.2443302086483214,0.6407944780955064,0.3282152415833216,0.1111424144245668,0.1319904211860825,-14.096185737976782,0.1144060657118786,0.5218197135636057,32.808181315644006,67.191818684356,-5.036585365853658,3.561728395061728,17.119955776672192,0.5991155334438917,296.3712434028822,7.033095392602206,51.89749031186566,57.94427016054623,,3.751689950428121,12.880044223327806,3.3400996493818043,0.3411875589066918,208.0,1.919173279202805,63.50877192982456,,3.0480202190395955,5.222365750138402,,,-14.412066650872625,-4.011461318051579,0.6495472435527061,170.12987012987014,-17.35159817351598,-0.6133146416011801,0.0257370724738015,0.0528575838968084,0.657805222079259,2.5504076581144326,0.1011788679758263,3.150912106135987,3.2180062657300605,0.2698697699082267,-0.3905236664983529,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7,True,1,Tier 2,31.47684207392732,68.93917464484703,46.27500415933204,78.08190252240671,54.00140906243188,75.20563542076654,75.10358876632196,46.45037216262918,42.28697337014579
775.625,24525.024,20103010.0,7150.546,6531.545,50.961,24654.931,1157.534,1073.329,DE0006070006,100054,HOCHTIEF AG,1071.799,14896.792,569.897,563.119,2024.0,,2362.0,23459.402,2010.0,2024-12-31,201030.0,346.106,431.762,1157.534,1071.799,33301.27,594.415,6479.288,DEU,1834.406,7248.347,406.43,473.704,1540.0,8.171,810.947,33301.27,20.0,2129.372,16688.667,2.2840015248876586,72.36664710454106,1.690983557083559,3.4759455119879816,2.329115376080252,3.4759455119879816,26.35408799724454,6.8486423277057815,1.120285964924529,1.0820296074483688,0.4384531246727483,0.4928908183721703,7.2678159188521025,6.67153636082885,7.672963867292282,4.347199349290412,95.15095377877958,1.304234740435703,1.4620132108430506,33.355903531021845,1.3506941065866296,653.4657875630384,4.594326127046622,79.44581858289489,5.508516642158092,18.584594349494225,43.03413423829218,55.89101831191496,1.4224802837849728,0.796924707485511,1655.668,4.971786361300936,22.246183381767025,378.1389013689823,23.00331592024251,0.0245366017572302,52.4003223207091,47.5996776792909,19.978436409854616,29.72058092884826,38.66184153243359,47.23920051579626,124.72899439724084,-0.0672083220746791,0.6244574442477412,-0.1150017774436076,0.0763504322865962,1.764917999082016,2.6005175905613784,8.636698273460995,2.502316370518563,0.015951066538431,0.1284283150664063,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,11,True,1,Tier 2,18.636154844827775,84.06821599545802,91.6465017828673,35.44873554513714,80.18180579292489,87.7914325218686,27.747150873888405,51.0771237372889,39.840249560475165
-2552.0,16782.0,35202010.0,35498.0,8087.0,91.864,110850.0,7216.0,5246.0,DE000BAY0017,100080,BAYER AG,31908.0,28952.0,13467.0,3167.0,2024.0,216.0,325.0,78805.0,3520.0,2024-12-31,352020.0,-7178.0,2007.0,7216.0,31908.0,46606.0,4049.0,16764.0,DEU,13456.0,12188.0,108.067,2778.0,2800.0,6387.0,1896.0,46606.0,35.0,7368.0,34444.0,2.85701398285972,-7.997994233421085,6.795262412564906,15.482985023387547,-5.475689825344377,15.482985023387547,63.991760717504185,4.698394801649704,1.1896932854379665,0.7245440729483282,0.2793243990052501,0.3448121027908262,4.954442940911141,1.1125109690359785,1.2769211483013665,28.78484438430311,71.0915651781687,1.5779770802192328,4.5256374722838135,36.75597654488047,0.4204420387911592,507.3369328572672,3.823925172300624,95.45165858473158,28.871819079088528,8.486161689730517,1.2461572733348183,18.290482634190347,5.96060593056688,0.6860953321807853,4590.0,9.84851735828005,37.70358306188925,232.6491948215977,3.474050394885295,13.70424408874394,,,-2.164284064907529,-4.652543028926792,-5.2274298212130255,93.99830938292476,0.9814612868048078,-0.245515221629714,0.0626117834328853,0.0147683118715722,-0.5070196153752454,3.2777902945769237,0.3169684483219406,6.646820027063599,2.5113358628213223,0.0617144980740626,0.3274444893955998,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,0,Tier 1,45.626842686786524,55.4093084314206,78.69715259329746,71.54879017752903,74.22172545422528,91.9207008572463,95.9951074692032,48.799155611563705,47.62073659688542
