gvkey,conm,cluster,cluster_name,roa,roe,ebit_margin,gross_margin,fcf_margin,current_ratio,debt_to_equity,financial_leverage,roa_trend,proximity_score,profitability_score,liquidity_score,leverage_score,cashflow_score,structure_score,relative_score,overall_score,cluster_name_enriched
17436,BASF SE,0,High Performers,3.561524591183237,3.646169836231355,4.388599448360404,31.512411890897944,1.1461844927980387,1.832971418510476,0.574594791988539,2.2589117671844714,-0.5203910451744728,71.41452524802457,77.98513267326244,88.26701738760441,97.12126371578071,98.62541722220432,92.35598028475313,46.90331399806245,53.87496300544039,High Performers (Low Score: 45)
17828,MERCEDES BENZ GROUP AG,0,High Performers,4.749254745103959,11.019703103913631,8.64458700221163,38.52974710496312,9.406981056911686,1.3600486461925,0.7933819163292848,2.86110661268556,0.07122143360776512,86.82459213168715,92.96390647543588,95.24707752747068,99.46136571747984,98.70988475741115,96.72257235751884,50.727088240252776,63.26875471951003,High Performers (Low Score: 45)
19349,SIEMENS AG,0,High Performers,6.534652125673153,16.026841448189764,12.720927169761625,43.226656130646646,12.612932964572632,1.3971489080682258,0.80604322721598,2.883348938826467,0.053867822909594944,77.164052235971,79.08999017533613,96.55233330418683,99.26234996180429,97.68754026290517,96.88774919643025,53.15373576470694,56.60985392563606,High Performers (Low Score: 45)
100004,ALTANA AG,0,High Performers,6.475870996902852,5.368676591220314,9.114981579998725,39.72850615904001,8.187796283685062,3.276000352751695,0.1399445258826524,1.4842684121989815,-0.4294549207168278,49.710979998485065,88.31640022598766,51.985638893173494,90.6677202651758,99.10147203837522,87.0275756782466,51.90030752324306,46.61444407110915,High Performers (Low Score: 45)
100010,BAYWA AG,-1,Upper-Mid,-4.250672662268254,437.7415687760516,-2.177823309743788,10.35044401535288,1.606575487331045,0.9146029254737492,-7.774535809018568,,-0.11533689911326936,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Noise
100022,BAYERISCHE MOTOREN WERKE AKT,0,High Performers,4.23520535460834,7.896874830742566,7.9638994240764145,44.69658659924146,-3.258182328978789,1.0991914607305364,0.7232844066511401,2.900200400801604,-0.10730136513996362,80.33085083255854,85.40595067747539,86.55452511801778,99.43280624165406,97.22483500888957,97.01307997442356,48.243070734522625,59.156811092683895,High Performers (Low Score: 45)
100042,MAN SE,0,High Performers,-2.283029297954671,-7.278854254422915,-3.8106661745709545,23.186934858830043,1.919173279202805,0.6407944780955064,0.1144060657118786,3.0480202190395955,-0.44793853774317977,37.17073620333665,39.72138601201393,73.15672500532958,90.30215944013892,98.87329959041466,98.11944443912037,40.176306104246486,31.842787627751342,High Performers (Low Score: 45)
100054,HOCHTIEF AG,0,High Performers,2.2840015248876586,72.36664710454106,1.690983557083559,26.35408799724454,4.971786361300936,1.120285964924529,6.67153636082885,23.00331592024251,-0.14084986850625408,14.738596825506404,49.768813087232154,87.22695768338578,39.24728172764615,99.85831621624023,22.05013376111858,67.91201586446164,19.77392952041361,High Performers (Low Score: 45)
100080,BAYER AG,0,High Performers,2.85701398285972,-7.997994233421085,6.795262412564906,63.991760717504185,9.84851735828005,1.1896932854379665,1.1125109690359785,3.474050394885295,-0.4288697186165794,58.48658417356318,60.30659841473328,89.4765565544437,94.5647772872959,98.56845065831976,98.639584182878,49.46360515602826,44.91243108110152,High Performers (Low Score: 45)
100083,BEIERSDORF AG,0,High Performers,10.42195065713627,10.761061946902654,13.766497461928934,61.6751269035533,8.060913705583756,1.7426948051948052,0.0,1.535221238938053,-0.5141279617984581,48.7023799962435,51.17262579387768,91.23932285285116,88.68254237886876,99.1423143171044,87.36841113016895,52.80592720178374,38.583731395159816,High Performers (Low Score: 45)
100102,BILFINGER SE,0,High Performers,6.805254800057744,13.682834960412022,4.678908188585608,13.326054590570724,3.53151364764268,1.3571381600578682,0.2439080636482435,2.6623875778307324,0.5695337436079179,57.112119459544985,64.67813269186858,95.14543079240163,92.17120545797053,99.39235247723846,95.25927773557358,48.584446915314885,44.99759486798877,High Performers (Low Score: 45)
100103,DEUTSCHE LUFTHANSA AG,0,High Performers,2.68638952648134,12.016981459019236,4.020484112090079,2.770444352555743,-0.0190845764814402,0.8332567284612634,0.9888234274822388,4.076589845780627,-0.5617290508643753,49.16146729492951,52.91896346342799,78.5089015370826,96.43330847135474,98.25291230582555,94.18395772761015,44.82530749907103,39.891710457792875,High Performers (Low Score: 45)
100301,DEUTZ AG,0,High Performers,2.0851898057387275,4.953414317726147,1.9352704416386397,26.69680763080995,2.067596625682307,1.2986244123280517,0.1553249203915556,1.985257695482958,0.21197415125334537,61.037282046789024,64.63391290743417,93.1247355051306,90.88859083153727,98.92096730199604,90.43736941007154,45.54405336412482,46.43055448335617,High Performers (Low Score: 45)
100312,RHEINMETALL AG,0,High Performers,9.899609592861127,19.85185185185185,14.562608963183262,51.881858270946566,10.132294123679625,1.2136537894426422,0.4619753086419753,3.541728395061728,0.578396508408886,50.92058390633657,56.44569718734835,90.26654998659171,95.40630290901466,98.47765751379663,98.12879417471746,55.440279064110484,41.19800329090577,High Performers (Low Score: 45)
100368,GEA GROUP AG,0,High Performers,9.322556660834046,16.42752611759716,10.371424213625312,39.356570085293065,8.723750393987308,1.0595436337925497,0.0514240542234365,2.488774621464517,0.3449355390204477,59.499559479488894,65.86829555538472,85.30466166500482,89.40691388671553,98.92913913026092,93.99898593880862,51.67636480644977,45.91417429154406,High Performers (Low Score: 45)
100373,HEIDELBERG MATERIALS AG,0,High Performers,7.680347008313294,9.287812041116007,13.512468222187636,63.83767492536047,9.002023403562887,1.2676099025996392,0.3571686990572262,1.9845974589797613,0.29976659766120317,56.324421759566135,59.813707856494794,92.07115032295198,93.837531389786,98.83978029717889,90.43278897221042,53.15878216600997,43.87626341410401,High Performers (Low Score: 45)
