xsga,cogs,seq,act,ggroup,ib,rect,ebitda,oibdp,ppent,datadate,gsector,ceq,isin,conm,dlc,gind,dltt,ebit,sic,che,emp,revt,loc,invt,gsubind,oancf,at,gvkey,fyear,lt,sale,dp,lct,naics,roa,roe,ebit_margin,ebitda_margin,net_profit_margin,current_ratio,quick_ratio,cash_ratio,debt_to_equity,total_debt_to_equity,equity_ratio,debt_ratio,asset_turnover,revenue_per_employee,receivables_turnover,days_sales_outstanding,revenue_growth,asset_growth,employee_growth,roa_outlier,roe_outlier,ebit_margin_outlier,ebitda_margin_outlier,net_profit_margin_outlier,current_ratio_outlier,quick_ratio_outlier,cash_ratio_outlier,debt_to_equity_outlier,total_debt_to_equity_outlier,equity_ratio_outlier,debt_ratio_outlier,asset_turnover_outlier,receivables_turnover_outlier,revenue_growth_outlier,asset_growth_outlier,employee_growth_outlier,years_available,latest_year,cluster,cluster_name
10347.0,44695.0,35599.0,31232.0,1510.0,1298.0,12244.0,6675.0,6675.0,17773.0,2024-12-31,15.0,35599.0,DE000BASF111,BASF SE,3540.0,151010.0,20455.0,2864.0,2800.0,3683.0,109.717,65260.0,DEU,13681.0,15101020.0,6946.0,80415.0,17436,2024.0,43532.0,65260.0,3811.0,17039.0,325.0,3.561524591183237,3.646169836231355,4.388599448360404,10.228317499233833,1.988967208090714,1.832971418510476,1.0300487117788604,0.21615118258113739,0.574594791988539,0.6740357875221215,44.26910402288131,54.13417894671392,0.8115401355468507,594.8029931551173,5.329957530218882,68.48084584737971,-5.285768192505302,3.9020608566444848,0.028262494757758105,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,-1,Upper-Mid
11167.0,89497.0,92625.0,101767.0,2510.0,10207.0,49973.0,17353.0,17353.0,71757.0,2024-12-31,25.0,92625.0,DE0007100000,MERCEDES BENZ GROUP AG,39311.0,251020.0,73487.0,12586.0,3711.0,21741.0,163.132,145594.0,DEU,26234.0,25102010.0,17735.0,265010.0,17828,2024.0,171380.0,145594.0,4767.0,74826.0,336110.0,4.749254745103959,11.019703103913631,8.64458700221163,11.918760388477548,7.010591095786914,1.3600486461924999,1.0094485873894101,0.2905540854783097,0.7933819163292848,1.217792172739541,34.9515112637259,64.66925776385797,0.5493905890343761,892.4919696932545,2.913453264762972,125.28088382763026,-4.9759166677544435,0.7558303107724873,-1.760851760851767,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,-1,Upper-Mid
13984.0,43108.0,51264.0,61353.0,2010.0,8216.0,34677.0,12658.0,12658.0,12078.0,2024-09-30,20.0,51264.0,DE0007236101,SIEMENS AG,6598.0,201050.0,41321.0,9659.0,9997.0,10216.0,327.0,75930.0,DEU,10923.0,20105010.0,11665.0,147812.0,19349,2024.0,91581.0,75930.0,2999.0,43913.0,999977.0,6.534652125673153,16.026841448189764,12.720927169761623,16.67061767417358,10.820492558935863,1.3971489080682258,1.14840707763077,0.23264181449684604,0.80604322721598,0.934749531835206,34.68189321570644,61.95775715097557,0.5136930695748654,232.2018348623853,2.1896357816420107,166.69438956934016,-2.3646954442001267,1.8922291079294329,2.187500000000009,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,-1,Upper-Mid
575.095,1909.906,3005.005,2117.433,1510.0,161.329,559.556,468.383,468.383,1219.89,2024-12-31,15.0,3005.005,DE0007600801,ALTANA AG,28.917,151010.0,420.534,288.839,2800.0,684.943,8.382,3168.838,DEU,626.463,15101050.0,438.997,4460.234,100004,2024.0,1430.794,3168.838,179.544,646.347,325.0,6.475870996902852,5.368676591220314,9.114981579998723,14.780907070667542,5.091109106871351,3.276000352751695,2.3067640137573164,1.0597140545248915,0.13994452588265244,0.14956747160154477,67.37325889179805,32.07889989628347,0.7104645182293127,378.0527320448581,5.66312933826105,64.45199786167674,15.58711150586447,7.722761277389667,14.570803717878622,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,-1,Upper-Mid
1709.3,18989.3,-263.9,7109.3,2010.0,-1155.2,1463.6,-158.9,-158.9,2728.7,2024-12-31,20.0,-263.9,DE0005194062,BAYWA AG,3728.7,201050.0,2051.7,-461.3,9997.0,355.5,22.111,21181.7,DEU,2918.4,20105010.0,941.5,10852.4,100010,2024.0,10817.1,21181.7,302.4,7773.1,424510.0,-4.250672662268254,437.7415687760516,-2.177823309743788,-0.7501758593502882,-5.4537643343074445,0.9146029254737492,0.5391542627780421,0.04573464898174473,-7.774535809018568,-21.9037514209928,-2.431720172496406,99.6747263278169,1.9517986804762082,957.9711455836461,14.472328505056028,25.22054414895877,-11.710911872220342,-13.310487510684021,-4.463359834082259,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,11,True,-1,Upper-Mid
9632.0,78741.0,92315.0,96387.0,2510.0,7290.0,45130.0,17900.0,17900.0,88419.0,2024-12-31,25.0,92315.0,DE0005190003,BAYERISCHE MOTOREN WERKE AKT,44491.0,251020.0,66770.0,11339.0,3711.0,19287.0,159.104,142380.0,DEU,24387.0,25102010.0,7566.0,267732.0,100022,2024.0,172729.0,142380.0,6561.0,87689.0,336111.0,4.23520535460834,7.896874830742566,7.9638994240764145,12.571990448096642,5.120101137800253,1.0991914607305364,0.8210836022762262,0.2199477699597441,0.7232844066511401,1.205232085793208,34.48037589828635,64.5156350380231,0.5318004571735915,894.8863636363635,3.154885885220474,115.6935665121506,-8.436121364905013,6.712902068635662,2.680864795095217,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,1,Mid
4032.0,9315.0,14182.0,7841.0,1510.0,1404.0,3559.0,3686.0,3686.0,11756.0,2017-12-31,15.0,14182.0,DE0006483001,LINDE AG,1944.0,151010.0,6129.0,1808.0,2810.0,2055.0,55.646,17113.0,DEU,1211.0,15101040.0,3508.0,33513.0,100037,2017.0,18454.0,17113.0,1878.0,8787.0,325120.0,5.394921373795244,9.899873078550275,10.565067492549524,21.539180739788467,8.204289136913458,0.8923409582337544,0.7545237282348924,0.23386821440764766,0.432167536313637,0.5692427020166408,42.317906484050965,55.06519857965566,0.5106376629964492,307.53333572943245,4.8083731385220565,75.90925027756677,0.9735662025017744,-4.762852027622266,4.585948953125585,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,True,-1,Upper-Mid
1805.0,8325.0,5935.0,4549.0,2010.0,-432.0,1541.0,648.0,648.0,6280.0,2020-12-31,20.0,5935.0,DE0005937007,MAN SE,2418.0,201060.0,679.0,-413.0,3711.0,789.0,36.569,10838.0,DEU,2219.0,20106010.0,570.0,18090.0,100042,2020.0,12155.0,10838.0,1061.0,7099.0,336120.0,-2.283029297954671,-7.278854254422915,-3.8106661745709545,5.978962908285661,-3.985975272190441,0.6407944780955064,0.3282152415833216,0.11114241442456683,0.11440606571187868,0.5218197135636057,32.808181315644006,67.191818684356,0.5991155334438917,296.3712434028822,7.033095392602206,51.89749031186566,-14.412066650872625,-4.011461318051579,0.6495472435527061,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7,True,-1,Upper-Mid
6479.288,24525.024,1071.799,16688.667,2010.0,775.625,7248.347,1157.534,1157.534,1834.406,2024-12-31,20.0,1071.799,DE0006070006,HOCHTIEF AG,1073.329,201030.0,7150.546,563.119,1540.0,6531.545,50.961,33301.27,DEU,569.897,20103010.0,2129.372,24654.931,100054,2024.0,23459.402,33301.27,594.415,14896.792,2362.0,2.2840015248876586,72.36664710454106,1.690983557083559,3.4759455119879816,2.3291153760802517,1.120285964924529,1.0820296074483688,0.43845312467274833,6.67153636082885,7.672963867292282,4.3471993492904115,95.15095377877958,1.3506941065866296,653.4657875630384,4.594326127046622,79.44581858289489,19.978436409854616,29.72058092884826,38.66184153243359,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,11,True,-1,Upper-Mid
16764.0,16782.0,31908.0,34444.0,3520.0,-2552.0,12188.0,7216.0,7216.0,13456.0,2024-12-31,35.0,31908.0,DE000BAY0017,BAYER AG,5246.0,352020.0,35498.0,3167.0,2800.0,8087.0,91.864,46606.0,DEU,13467.0,35202010.0,7368.0,110850.0,100080,2024.0,78805.0,46606.0,4049.0,28952.0,325.0,2.85701398285972,-7.997994233421085,6.795262412564906,15.482985023387547,-5.475689825344377,1.1896932854379663,0.7245440729483282,0.2793243990052501,1.1125109690359785,1.2769211483013665,28.78484438430311,71.0915651781687,0.4204420387911592,507.33693285726724,3.8239251723006236,95.45165858473158,-2.164284064907529,-4.652543028926792,-5.2274298212130255,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,-1,Upper-Mid
